prior=0.7	BLACKPINK
prior=0.5354426	Boys Under The Moon
prior=0.5354251	David Guetta and Afrojack
prior=0.5354048	SWING
prior=0.5351668	MastaMic
prior=0.5350898	GARY and Jung In
prior=0.5350667	Queen
prior=0.5348763	Sabrina Carpenter and Jonas Blue
prior=0.53487	Deorro and Chris Brown
prior=0.5348252	CHEN
prior=0.5346383	許志安 and 陳慧珊
prior=0.5346222	Omi
prior=0.5346005	Ewan McGregor Emma Thompson Gugu Mbatha Raw and Ian McKellen
prior=0.5344206	Dough-Boy
prior=0.5343737	じょばんに
prior=0.5342225	Pinkrush
prior=0.5339782	Maisie Peters
prior=0.5338886	Lady Antebellum
prior=0.53382	JJ Project
prior=0.5336856	品冠
prior=0.5336513	Suzy
prior=0.5336513	張碧晨
prior=0.5335519	DIA
prior=0.5334392	JBJ
prior=0.5334112	SiS 樂印姊妹
prior=0.5333195	Jennifer Lopez
prior=0.5332481	Billie Eilish and Khalid
prior=0.5332425	Hozier
prior=0.5331991	吳克群
prior=0.5331739	Leona Lewis
prior=0.5331326	周華健
prior=0.5331074	Camila Cabello and Daddy Yankee
prior=0.5330787	王浩信
prior=0.5330073	MONSTA X
prior=0.5329597	YUI
prior=0.5329352	林子祥
prior=0.5328512	Axwell Λ Ingrosso
prior=0.5328344	NU'EST W
prior=0.5325999	Gin Lee and 蘇永康
prior=0.5325131	陳蕾
prior=0.5324452	X Ambassadors
prior=0.5324382	Ayo and Teo
prior=0.532385	Against The Current
prior=0.532322	Alec Benjamin
prior=0.5322051	Robin Schulz
prior=0.5320392	吳若希 and 許廷鏗
prior=0.5320098	Andra Day
prior=0.5319419	JUDE
prior=0.5318943	Bad Meets Evil
prior=0.5316906	Hyolyn and CHANGMO
prior=0.5316654	Corinne Bailey Rae
prior=0.5314008	Britney Spears
prior=0.5313483	湯寶如 and 張學友
prior=0.5313217	Calvin Harris and Alesso
prior=0.5312223	董贞
prior=0.5312216	Pinkfong
prior=0.531195	LAY
prior=0.5311733	Whitney Houston
prior=0.5311362	西野カナ
prior=0.5309094	Han Suji
prior=0.5309003	JEONG SEWOON
prior=0.530831	何雁詩 and 鄭俊弘
prior=0.5308093	Mariah Carey and Whitney Houston
prior=0.530803	鄭秀文 and 廿四味
prior=0.530796	Gym Class Heroes
prior=0.5307911	方力申 李彩樺 and 陳曉東
prior=0.530747	Alex and Sierra
